pgpid,description
903,"Court record in the hand of Ghalib ha-Kohen b. Moshe, August 1, 1038. In the court of the Jerusalem community in Fustat. Community members spread rumors about Elazar ha-Melamed b. Shemuʾel b. al-Maghribi, that he cursed Shelomo b. Yehuda ha-Gaon. But these members did not say it in public, in front of the court. Elazar ha-Melamed delayed the Torah reading in the synagogue to dispel the rumor. (Information from Gil, Palestine, vol. 2 p. 607-610, #331). VMR"
905,"Ketubba, Aleppo, 1026/1027/1028. The document omits the divorce clause, and the groom notably refers to himself and his bride as the ""Jew"" and the ""Jewess."" (Friedman, Jewish Marriage, vol. 2, 88-95) EMS"
906,"Deathbed will. in the hand of Ḥalfon b. Menashshe. Signed by Ḥalfon b. Menashshe and Natan ha-Kohen b. Shelomo. Location: Fustat. Dated: First third of Av 1448 Seleucid, which is July/August 1137 CE, under the reshut of Maṣliaḥ Gaon. (The signing was deferred to the middle third of Av.) Testator: Abū l-Ḥasan Yehoshuaʿ b. Abū l-Riḍā Shemuel ha-Meshorer. The dying man appoints his mother-in-law Mubāraka bt. Ḥifāẓ (and not his wife Sitt al-Dār bt. Yefet) as the executor of his will and guardian of his three children. He leaves his silver cup and other items to his son Hiba and the jewelry to be divided amongst his daughters Sitt al-Fakhr and Sitt al-Banāt. He makes arrangements for his business partnerships in rose water and safflower with Mufaḍḍal b. Hiba al-Ḥarīrī and with Abū l-Ḥasan the Qaraite. His wife Sitt al-Dār will live with her children for as long as she remains unmarried. He gives 6 dinars to his father and 4 dinars to his mother. Along with jewelry and household items, the ornate head garment used on the celebratory occasion of the first cutting of a boy’s hair is also mentioned. (S. D. Goitein, A Mediterranean Society, 5:152, 565; 4:148-9, 210-11, 394, 423-4) EMS. ASE."
907,"Marriage contract (ketubba) from Damsis, Egypt, 1083."
908,"Deed of compensation, Tyre, November 1019."
909,"Will of a pregnant woman. In the hand of Ḥalfon b. Menashshe. Location: Cairo (not Fustat). Dated: Tishrei 1449 Seleucid, which is 1137 CE. Testator: Sitt al-Ahl bt. Ṣadoq b. Mevorakh Rosh ha-Qehillot. Sitt al-Ahl is the wife of Abū l-Faraj Yeshuʿa b. Yehuda. Sitt al-Ahl's mother is Ḥasana bt. Shelomo ha-Kohen, the sister of the well-known judge Natan b. Shelomo. She is close to giving birth and contemplating dying during childbirth and seeks to provide for the child “male or female” who would survive the mother. The woman bequeaths generously to relatives and charities, including “forty dinars to the ""mastūrīn"" poor in Cairo and Fustat. ""The woman's husband had children from a previous marriage, and she was, therefore particularly eager to safeguard the future of the child she was expecting. This had already been done to a large extent in her marriage contract, where it was stipulated that the dowry which she brought in, as well as payments due to her, would go to her children, to the exclusion of other heirs of her husband. In addition, she now wants half of a house, given by her to her mother prior to her marriage, to revert to her future child. The other half belonged to her, and both she and her husband were eager that the whole should become the property of the expected newborn. The old lady, however, had earmarked 60% of her share for her brother and nieces and 40% for charitable purposes. In view of this, our document stipulates that the gifts intended by the old woman will be made by her son-in-law in case after her death, while the half of the house referred to will be registered as property of the newborn. The expecting mother belonged to one of the leading families of the community, as her grandfather was Mevorakh Rosh ha-Qehillot, a man prominent in the politics of the community in the middle of the 11th century. On the other hand, her maternal uncle, the judge Natan ha-Kohen b. Shelomo, signatory of many documents in Fustat during the years 1122–48, was a refugee from Palestine, which was occupied at that time by the crusaders. It stands to reason that her mother, too, had come from Palestine and had, therefore, no possessions of her own in Cairo. This explains why she was given in her old age, one-half of a house by her daughter, who had inherited or received it as a gift from her father's family, or perhaps left to her by a former husband."" (Information from Goitein's attached notes and from Mark Cohen, Poverty and Charity in the Jewish Community of Medieval Egypt, 196; S. D. Goitein, A Mediterranean Society, 3: 232, 475) EMS. ASE."
911,"Document regulating the inheritance of the estate in Sana'a, next to the synagogue, that was left behind by Meri Daud. The house was split and the document details all the different parts of the house. (Information from Goitein, The Yemenites, pp. 152-156). VMR"
912,"Document that is a continuation of Sassoon 1055A. Aharon al-Araki, who received a part of a house in Sana'a, sells his part to his brother Salam and his niece Badra for 150 Rial (75 for each); 1667. (Goitein, The Yemenites, 157-158) VMR"
913,"A testimony of a person who received 47.5 ""Harf"" (each of them equal to 40 ""Vuksha"" silver) for selling his part of the house in Sana'a. Around 1603-1628. (Goitein, The Yemenites, 150-152) VMR"
915,"Testimony about a certain Elhanan and a Muslim slave, and the refusal to accept a si'aya (work imposed on a slave for obtaining his freedom), witnessed in Aleppo, in the month of Tishri '[1]326'/1014-15."
916,Attestation of the court of the Babylonian community in Fustat bearing the signature of Sahlan [b. Avraham] and dated 1355/1044.
917,"Release after the remittance of a debt (Pikadon), from mid-January/mid-May 1045, Jerusalem. The releasing parties: Mevaser B. Shela al-'Amtani and his wife Jealia bt. Al-shlimon al-Dalati. The released: Itzhak b. Yaakov (Yaakov, 'the Sanhedrin member') and his mother Salma bt. Yefet ha-Kohen. VMR"
918,"Document of divorce settlement, signed by Eli b. Amram, head of the Jerusalemite congregation in Fustat, and Avraham b. David [b. Sighmar], and dated Kislev 1361/November 1049."
