pgpid,names,location,date,date_standard,author
866,['Nathan B. Abraham'],Fustat,February-March 1040,N/A,Nathan B. Abraham
903,"['Eleazar Ha-melamed B. Samuel B. Al-maghribi', 'Solomon B. Judah Ha-']",Fustat,"August 1, 1038",CE,Ghalib B. Moses
906,"['Halfon B. Manasseh', 'Nathan B. Solomon', 'Abu Hasan Joshua B. Abu Rida Samuel Ha-meshorer', 'Mubaraka Bt. Hifaz', 'Sitt Al-dar Bt. Yefet', 'Hiba', 'Sitt Al-fakhr', 'Sitt Al-banat', 'Mufaddal B. Hiba Al-hariri', 'Abu Hasan The Qaraite', 'Masliah']",Fustat,"First third of Av 1448 Seleucid, which is July/August 1137 CE",Seleucid,Abu Hasan Joshua B. Abu Rida Samuel Ha-meshorer
909,"['Sitt Al-ahl Bt. Sadaqa B. Mevorakh Rosh Ha-qehillot', 'Abu Faraj Joshua B. Judah', 'Hasana Bt. Solomon', 'Nathan B. Solomon', 'Mevorakh Rosh Ha-qehillot', 'Manasseh', 'Solomon']",Cairo,"Tishrei 1449 Seleucid, which is 1137 CE","Tishrei 1449 Seleucid, which is 1137 CE",Sitt Al-ahl Bt. Sadaqa B. Mevorakh Rosh Ha-qehillot
911,['Meri David'],Sana'a,N/A,N/A,Meri David
917,"['Isaac B. Jacob', 'Jacob', 'Salma Bt. Yefet', 'Mevaser B. Shela Al-amtani', 'Jealia Bt. Al-shlimon Al-dalati']",Jerusalem,mid-January/mid-May 1045,N/A,Mevaser B. Shela Al-amtani And Jealia Bt. Al-shlimon Al-dalati
918,"['Eli B. Amram', 'Abraham B. David B. Sughmar']",Fustat,Kislev 1361/November 1049,N/A,"Eli B. Amram, Abraham B. David B. Sughmar"
919,"['Tobias B. Sahl', 'Eli B. Solomon', 'Tobias', 'Tiban B. Joshua']",N/A,February-March 1057,N/A,"Tobias B. Sahl, Eli B. Solomon , Tobias, Tiban B. Joshua"
926,"['Abraham B. Nathan', 'Sitt Al-ahl B. Abraham', 'Abraham', 'Al-wuhsha']",Fustat,"Ab 1461/July 27, 1150","Ab 1461/July 27, 1150",Abraham B. Nathan
929,['Elhanan B. Shemarya'],Fustat,1016,CE,Elhanan B. Shemarya
930,['N/a'],Jerusalem,1024,N/A,N/a
997,['Hillel B. Eli'],N/A,Ab 1414/July 1103,N/A,Hillel B. Eli
998,"['Sitt Bt. Joseph B. Amram', 'Jamila Bt. Jacob', 'Joseph', 'Abu Bishr Azhar', 'Hayya Al-kohen B. Joshua', 'Abraham B. Aaron']",N/A,Tammuz 1415 of the Seleucid era,N/A,"Sitt Bt. Joseph B. Amram, Jamila Bt. Yaqub, Hayya Al-kohen B. Joshua , Abraham B. Aaron"
1002,"['Abu Fadl Sela B. Amram', 'Mubaraka Bt. Solomon']",N/A,"Elul 1112, Wednesday, September 4, 1112",1112,Abu Fadl Sela B. Amram
1004,"['Al-asad B. Abu Faraj Al-sayrafi', 'Al-muwaffaq B. Nusayr']",Mirs,1337-11,1337-11,Al-asad B. Abu Faraj Al-sayrafi
1007,"['Abu Hasan', 'Abu Kathir B. Yahya', 'Sitt Al-baha Bt. Eliyya']",N/A,N/A,N/A,"Abu Hasan, Abu Kathir B. Yahya, Sitt Al-baha Bt. Eliyya"
1010,"['Eli B. Yahya', 'Abraham B. Isaac', 'Ezekiel Ii B. Eli I']",N/A,1093,N/A,"Eli B. Yahya, Abraham B. Yishaq, Ezekiel Ii B. Eli I"
1013,"['Judah B. Shabat', 'Ula B. Joseph']",N/A,ca. 1100,N/A,Eviatar
1014,"['Perahya B. Arah', 'Arah', 'N/a']",Fustat,"winter, 1099-1100",N/A,Perahya B. Arah
1015,['Ismail Al-azazi Al-halabi'],Fustat,Kislev 1411/November 1099,N/A,Ismail Al-azazi Al-halabi
1029,"['Nasir Al-ibri', 'Gil']",N/A,ca. 1215,ca. 1215,Nasir Al-ibri
1039,"['Abu Ala Al-sabbagh', 'Abu Sad', 'Abu Imran Amram Ha-talmid']",N/A,N/A,N/A,"Abu Ala Al-sabbagh B. Abu Sad, Abu Imran Amram Ha-talmid"
1041,"['Sitt Al-husn', 'Nathan B. Samuel']",N/A,ca. 1151,N/A,Nathan B. Samuel
1097,"['Mevorakh B. Nathan', 'Mevorakh', 'Sarur Son Of Abu Ali Al-hibzi', 'Abu El-maali Al-tajiv', 'Abu Said Khalef', 'Abu Maali Al-sairafi Al-mehiali B. Oboli', 'Bayan B. Hiashiash', 'Sitt Al-maali Bt. Mevorakh', 'Netanel B. Aaron Kohen', 'Abu Faris B. Al-shofet', 'Sara', 'Sitt Al-sada Bt. Said Al-ahl B. Nahiuan']","Sicily, Matalla",1149 or 1159,N/A,"Mevorakh B. Natan, Mevorakh , Sarur Son Of Abu Ali Al-hibzi, Abu El-maali Al-tajiv, Abu Said Khalef, Abu Maali Al-sairafi Al-mehiali B. Oboli, Bayan B. Hiashiash, Sitt Al-maali Bt. Mevorakh , Netanel B. Aaron Kohen, Abu Faris B. Al-shofet, Sara, Sitt Al-sada Bt. Said Al-ahl B. Nahiuan"
1099,"['Abu Hasan B. Numayla', 'Abu Maali Samuel B. Judah', 'Abu Sad', 'B. Numayla', 'Saadya B. Ephraim B. Hudhaifa', 'Samuel B. Saadya']",Fustat,1165,N/A,Samuel B. Saadya
1100,"['Shabbetai B. Muammal', 'Sittut B. Yefet']",Fustat,1535/ 1223-24,N/A,Shabbetai B. Muammal And Sittut B. Yefet
1101,"['Sitt Qadib', 'Abu Berakot B. Abu Bayan', 'Isaac B. Sasson', 'Saadya']",N/A,17 Nisan 1198,N/A,"Sitt Qadib , Abu Berakot B. Abu Bayan, Isaac B. Sasson"
1103,"['Abu Fakhr B. Abu Futuh Al-levi Al-shamma', 'Abu Baha']",Cairo and Fustat,"January, 1207",N/A,Abu Fakhr B. Abu Futuh Al-levi Al-shamma
1106,"['Shela', 'Ephraim B. Sadaqa']",N/A,1210,N/A,Shela
1107,"['Abu Hasan B. Abu Faraj', 'Maali Bt. Mansur', 'Abraham Maimonides']",Fustat,"Tuesday, 25 Av 4973 AM (=1524 Seleucid), which is August 1213 CE","Tuesday, 25 Av 4973 AM (=1524 Seleucid), which is August 1213 CE",Abu Hasan B. Abu Faraj And Maali Bt. Mansur
1108,"['Baha B. Abu Hasan Al-attar', 'Abu Imran Al-kohen Al-tiferet', 'Moses B. Abu Bayan', 'Abraham Maimonides']",N/A,13 May 1214 CE,1 Muḥarram 611 AH = 1 Sivan 1525 Seleucid,Abu Imran Al-kohen Al-tiferet
1109,"['Moses B. Berakot', 'Moses B. Abu Berakot', 'B. Al-maqdisi', 'Dalal Bt. Abu Imran', 'Halfon B. Eleazar', 'Meir B. Yakhin', 'Sulayman B. Mahasin', 'Abraham Maimonides']",Fustat,April 1215 CE,first decade of Iyyar 1526 Seleucid,Moses B. Berakot B. Al-maqdisi
1112,"['Sitt Al-ahl Bt. Abu Muna Al-attar Al-iskandarani', 'Abu Nasr Al-halabi Al-tajir', 'Samuel B. Hananya', 'Joseph B. Thabit', 'Solomon B. Nathan', 'Abu Moses Harun/aharon B. Joshua', 'Abu Surur', 'Moses', 'Fuq']",Fustat,"Wednesday, 26 Iyyar 1454 Seleucid, which is 13 April 1143 CE",gregorian,Sitt Al-ahl Bt. Abu Muna Al-attar Al-iskandarani
1113,"['Amram B. Isaac', 'Halfon b. Netanel ha-Levi', 'Netanel']",Alexandria,Tevet 4903/January 1143,N/A,Amram B. Isaac
1114,"['Joseph B. Hasan Al-madawi', 'Khalluf B. Abu Hasan Al-damsisi']",Fustat,1144,CE,Nathan B. Samuel
1115,"['Abu Rida Jacob B. Joseph', 'Abu Faraj Joshua B. Abraham', 'Joseph', 'Abraham']",al-Maḥalla al-kubra,N/A,N/A,"Abu Rida Jacob B. Yusuf, Abu Faraj Joshua B. Abraham"
1117,"['Solomon B. Adaya', 'Hibat Allah', 'Abu Faraj', 'Abraham B. Saadaya']",Sunbat,1149,Elal,Solomon B. Adaya And Abraham B. Saadaya
1118,['Samuel B. Hananya'],Fustat,Elul 1463/August 1151,August 1151,Samuel B. Hananya
1119,"['Ezra B. Samuel B. Ezra', 'Mubaraka']",N/A,N/A,N/A,N/a
1139,"['Abraham Halfon B. Al-azakan B. Meshorer', 'Nadiv B. Solomon']",Minyat Ghamr,1226 CE,CE,Abraham Halfon B. Al-azakan B. Meshorer
1140,"['Sulayman B. Jacob', 'Nafis B. Jacob', 'David B. Joseph', 'Abu Wahsh B. Sulayman', 'Abraham B. Eleazar', 'Yahya B. Tahor']",Bilbays,1253 CE,"First decade of Sivan, 1564 Seleucid",Abraham B. Eleazar And Yahya B. Tahor
1141,"['Sulayman Ha-kohent B. Ephraim', 'David']",Fustat,1564 Sel. (1253/1252 C.E.),C.E.,Emanuel B. Yehiel
1145,"['Moses B. Solomon', 'Muwaffaqa Bt. Samuel B. Moses', 'Joseph B. Ovadya', 'Joseph B. Moses']",Cairo,1691 CE,Seleucid Era,"Moses B. Shelomo, Muwaffaqa Bt. Samuel B. Moses, Joseph B. Ovadya, Joseph B. Moses"
1146,"['Sadaqa B. Moses', 'Wazira Bt. Moses B. Isaac', 'Samuel B. [...]']",N/A,Kislev 1691 of the Seleucid Era (= 1379 CE),Seleucid Era,Sadaqa B. Moses And Wazira Bt. Moses B. Isaac
1149,"['Abu Ala Al-sabbagh B. Abu Saad', 'Abu Faraj Joshua']",N/A,Adar 1219,N/A,Abu Faraj Joshua
1151,"['Abu Nasr Eleazar B. Karmi B. Shabib', 'Abu Mansur Eleazar B. Zabqala', 'Makkasin Misr']",Fustat,1232 CE,Tammuz 1543 Seleucid,"Abu Nasr Eleazar B. Karmi B. Shabib, Abu Mansur Eleazar B. Zabqala"
1153,"['Aaron B. Abu Rida', 'Labwa Bt. Abu Ghalib', 'Furayj', 'Radi']",Fustat,1244,Gregorian,Aaron B. Abu Rida And Labwa Bt. Abu Ghalib
1154,"['Abu Hasan B. Sadaqa', 'Judah B. Aaron', 'Joseph B. Simha']",Alexandria,"Last decade of Kislev 5004 AM, which is December 1243 CE",CE,Judah B. Aaron And Joseph B. Simha
1155,"['Joshua B. Judah', 'Abu Nasr Judah B. Joshua']",al-Banhā,Tishri 1244,N/A,"Joshua B. Judah , Abu Nasr Judah B. Joshua"
1157,['Solomon B. Hayyim'],Fustat,ca. 1085,N/A,Solomon B. Hayyim
1159,"['Joseph B. Nataniel', 'Abu Khayr B. Al-tinnisi']",N/A,1174 CE,CE,Joseph B. Nataniel
1161,"['Eli B. Isaac', 'S. D. Goitein']",Fustat,N/A,N/A,Eli B. Isaac
1162,[],Fustat,1265,1576,N/a
1164,['Abu Isaac B. Yahya Al-najib'],N/A,Tammuz 1461/July-August 1150,N/A,N/a
1173,"['Solomon B. David B. Shimon', 'Marwan', 'Semah B. Shamual']",N/A,N/A,N/A,Kara Al-alon
1174,"['Abu Tana Al-sukkari', 'Abu Berakot']",N/A,N/A,N/A,Aaron
1175,"['R. Moses', 'R. Nissim']",al-Maḥalla,Thirteenth century,,"R. Moshe, R. Nissim"
1176,"['Mansur B. Khalluf', 'Muluk', 'Abu Sad Saadya B. Abraham']",Fustat,Adar 1471/February-March 1160,N/A,Netanel
1180,"['Ephraim B. Shemarya', 'Solomon B. Mundhir']",N/A,1038 CE,Seleucid era,Ephraim B. Shemarya
1181,['Abu Sa&id'],N/A,N/A,N/A,Abu Said
1187,"['Moses B. Levi', 'Khalluf B. Hilal', 'Abu Fadl B. Hilal']",Qalyub,1194 CE,1505 Seleucid,Sar Solomon
1190,"['Halal B. Halfon', 'Abu Karam B. Halfon', 'Joshua B. Ali']",N/A,N/A,N/A,"Halal B. Halfon, Abu Karam B. Halfon, Joshua B. Ali"
1194,"['Zuhra Bt. Joseph', 'Jacob', 'Joseph B. Isaac', '[...] B. Furqan', 'Hasan B. Faraj Al-amidi']","Aleppo, Lebanese Tripoli",N/A,N/A,"Zuhra Bt. Joseph, Jacob , Joseph B. Isaac, [...] B. Furqan"
1196,"['Raisa B. Kathir', 'Joseph', 'Yefet Ha-hazan B. David']",N/A,N/A,N/A,Yefet Ha-hazan B. David
1204,"['Abu Perej B. Asad', 'Samuel B. Surur']",Tyre,1235,N/A,"Abu Perej B. Asad, Samuel B. Surur"
1205,"['Yefet', 'Yequtiel', 'Petahya']",Damascus,N/A,N/A,Yefet
1206,"['The Grain Dealer', 'The Divorcee', 'The Five-year-old Son']",Cairo,"September, 1052",N/A,N/a
1208,"['Moses B. Abraham', 'Amram B. Joseph Hahasid', 'Mahbub']",N/A,N/A,N/A,Moses B. Abraham
1209,"['Mevorakh B. Eleazar', 'Isaac B. Samuel', 'Meshullam Son Of Manasseh The Haver']",N/A,Around 1100,N/A,"Mevorakh B. Elazar, Isaac B. Samuel , Meshullam Son Of Manasseh The Haver"
1213,"['Surur B. Jacob', 'Surura Bt. Solomon']","Fustat, Qayrawan, Alexandria",1029,summer,"Surur B. Yaaqov, Surura Bt. Solomon"
1214,"['Jacob B. Moses', 'Abu Ala Mevorakh B. Abraham Al-safuri', 'Aaron', 'Moses', 'Daniel', 'Samuel', 'Sara']",N/A,N/A,N/A,Jacob B. Moses
1215,"['Abraham B. Samuel', 'Sadan B. Said', 'Joseph']",N/A,979 CE,CE,"Abraham B. Shemuel, Sadan B. Said, Joseph"
1222,"['Solomon B. Hatim', 'Menachem B. Solomon', 'Hasan B. Abraham', 'Samuel B. Nisin']",N/A,N/A,N/A,Solomon B. Hatim
1223,['Joshua B. Mevasser'],Alexandria,1152,N/A,Joshua B. Mevasser
1225,"['Joseph B. Sulayman', 'Sahl B. Moses', 'Joseph B. Joshua']",N/A,June 1042,N/A,"Joseph B. Sulayman, Sahl B. Moses"
1237,"['Yahya B. Moses', 'Salman B. Shabib', 'Israel B. Joseph B. Banuqa', 'Khalluf B. Judah', 'Barhun B. Moses B. Barhun', 'Isaac B. Jacob', 'Ephraim B. Shemarya', 'Abraham B. Mevasser', 'Yefet B. David']",Zawīlat al-Mahdiyya,"Thursday, 19 Tammuz 4807 AM (1047 CE)",Tammuz 4807 AM,Yahya B. Moses
1239,"['Joseph', 'Maali']",Babylon,Ḥeshvan 1478 Seleucid (1166 CE),Seleucid,Samuel B. Eli
1253,"['Israel B. Joseph Januni', 'Nahray B. Nissim', 'Mardukh', 'Joseph', 'Judah B. Joseph Januni']",Mahadiya,1065,CE,"Israel B. Joseph Januni, Nahray B. Nissim, Mardukh, Yosef, Judah B. Joseph Januni"
1263,['Daniel B. Azarya'],N/A,N/A,N/A,Daniel B. Azarya
1264,"['Abd Al-baqi B. Ahmed', 'Moses B. Adi']",al-Qawlan in Fustat,"13 Muharram 424 A.H./A.D. 19 December, 1032",A.D.,Abd Al-baqi B. Ahmed
1265,"['Joseph B. Mawhub', 'Sittan Bt. Mevasser B. Joshua', 'Joshua B. Mevasser', 'Samuel B. Hofni']",Tyre,11th century,According to the destruction of the Temple,Joseph B. Mawhub And Sittan Bt. Mevasser B. Joshua
1289,"['Samuel B. Abraham The Persian', 'Kayriya Bt. Ezra', 'Mansur B. Isaac', 'Muammar B. Jacob', 'Benjamin', 'Aaron B. R. [...]', '[...] B. Saul', 'Jacob B. Maymun', 'Abraham Ha-sofet', '[...] B. Joseph', 'Tana Bt. Furayj', 'Jacob B. Nathan', 'Aaron B. Eli']",Damascus,933 CE,N/A,N/a
1305,"['Hillel B. Eli', 'Abu Isaac Abraham B. Tiban', 'Abu Hasan Joseph', 'Ulla']",N/A,N/A,N/A,Hillel B. Eli
1367,['Daniel B. Azarya'],Alexandria,May 1079,N/A,Daniel B. Azarya
1402,"['Moses Maimonides', 'Samuel', 'Solomon', 'Isaac']",N/A,N/A,N/A,Moses Maimonides
1413,['Abul-farah'],N/A,ca. 1220,N/A,Amram B. Halfon
1422,"['Abu Berakot B. Al-sharabi', 'Hisn Al-dawla', 'Hillel B. Eli']",N/A,1143 CE,CE,Nathan B. Samuel
1441,"['Halfon B. Manasseh', 'Sitt Al-baha']",Fustat,N/A,N/A,Halfon B. Manasseh
1442,['Joshua B. Solomon'],Jerusalem,N/A,N/A,Joshua B. Solomon
1453,[],al-Mahalla al-Kubra,1374,N/A,N/a
1532,"['Hibat Allah', 'Moses Maimonides', 'Pinkhas']",N/A,ca. 1180,N/A,Hibat Allah
1543,"['Abul-surur', 'Samuel B. Saadya']",Qodesh,1194/1199,Unknown,Samuel B. Saadya
1555,"['Yeshayahu B. Mishael', 'Abraham Al-najib', 'Mishael', 'Moses Maimonides']",Dammuh,ca. 1180,N/A,Yeshayahu B. Mishael And Abraham Al-najib
1556,"['Joseph B. Yannay', 'Nathan B. Yannay', 'Masliah B. Elijah', 'Hillel B. Isaac']","Ramla, Jerusalem",1065,mid-11th century CE,"Yannay B. Nathan Al-baradani, Solomon B. Tovia Ha-shelishi"
1561,['Aaron B. Amram'],Samaritiqa,ca 1050,N/A,Aaron B. Amram
1614,['Abraham B. Aaron Ha-mumkhe'],Fustat,N/A,N/A,Abraham B. Aaron Ha-mumkhe
1626,"['Sitana Bt. Abraham', 'Joseph B. Sadel', 'Ephraim B. Zadok', 'Sar-shalom B. Isaac', 'Shemarya B. Elhanan']",Fustat,N/A,N/A,Sitana Bt. Abraham
1669,"['Abraham B. Kabir', 'Isaac B. Abraham']",Qayrawan,978 A.D.,Common Era,Abraham B. Kabir
1673,"['Abul-makarim', 'Samuel B. Saadya']",Al-Burj,1180-81,CE,Samuel B. Saadya
1675,"['Moses B. Samuel B. Sahl', 'The Son Of The Deceased']",Fustat,late 10th century,N/A,Moses B. Samuel B. Sahl
1676,"['Eli B. Amram', 'Of Jerusalem']",Fustat,1058,unknown,Eli B. Amram
1678,"['Isaac B. Abraham Ha-maaravi', 'David Kohen B. Solomon']",Fustat,967,CE,Isaac B. Abraham Ha-maaravi
1681,"['Shams', 'Shams Father', 'Shams Uncle', 'Shams Grandfather', 'Shams Great-grandfather']",N/A,1378 CE,CE,Shams And Her Ancestors
1684,"['Safi', 'B. Jamahir']",Fustat,1141 CE,N/A,B. Jamahir
1699,"['Joseph B. Samuel B. Asad', 'Eleazar', 'Mansur', 'Saadya', 'Joseph']",Alexandria (Nā Amon),15th century CE,CE,Joseph B. Samuel B. Asad
1704,"['Faiza', 'Sahlan', 'Rayyisa', 'Ephraim', 'Sutayt', 'Sayyida']",Qasr al-Sham',1006,AD,Unknown
1705,['Solomon Ha-zariz B. Halfon'],Ascalon,1120(?)-1147,N/A,Solomon Ha-zariz B. Halfon
1710,['Khalluf B. Aaron'],N/A,N/A,N/A,Khalluf B. Aaron
1711,"['Yesua B. Abraham', 'Said B. Israel Al-tustari']",N/A,N/A,N/A,Yesua B. Abraham
1717,"['Saadya B. Siman Tov', 'Abu Hasan']",Fustat,N/A,N/A,Nathan B. Samuel
1719,"['Hiba', 'Nathan B. Samuel']",Dammuh,ca. 1150 CE,CE,Nathan B. Samuel
1750,"['Israel B. Daniel', 'Sittuna Bt. David B. Abraham', 'David B. Abraham', 'Kalaf B. Abraham', 'Shemarya', 'Abraham']",Fustat,1007 CE,4767,Israel B. Daniel
1751,"['Yefet B. David', 'Isaac B. David', 'Halfon B. Moses', 'Saadya B. Solomon', 'Banina Bt. Solomon']",Fusṭāṭ,1037 CE,"Monday, 27th Ṭevet 4797",Yefet B. David
1754,"['Eli B. Yefet', 'Moses B. Gulayb', 'Gulayb', 'Mulk', 'Elkhanan', 'Joshua B. Sadaqa', 'Solomon B. Saadya', 'Ephraim B. Shemarya']",Cairo Geniza,"April or May, 1026",Gregorian,"Avraham, Son Of The"
1783,"['Daniel B. Azarya', 'N/a']",Jerusalem,23.2.1058,N/A,Daniel B. Azarya
1784,"['Yefet B. Manasseh', 'Banat Daughter Of Abu Rida', 'Abu Rida', 'Musfir B. Samuel']",N/A,N/A,N/A,"David B. Daniel, Hillel B. Eli"
1785,"['Sulayman The Blacksmith', 'Salman B. Shabib', 'Yefet B. Tovia']",Fustat,August or September 1031,N/A,Yefet B. Tovia
1793,"['Sitt Al-dar Bt. Saul', 'Al-aniyim']",N/A,1117 CE,N/A,Halfon B. Manasseh
1798,"['Obadiah', 'Abul-faraj Joshua B. Sadaqa Al-ramli', 'Abul-maali', 'Nathan B. Solomon Ha-me-ulle']",Ramlah,1134,Christian Era,Obadiah
1800,"['Israel B. Joseph Januni', 'Nahray B. Nissim', 'Manasseh B. David']",Qayrawan,ca. 1055 CE,N/A,Israel B. Joseph Januni
1801,"['Malikha', 'Shemarya B. Manasseh', 'Moses The Of The Exile B. Mevorakh']",Fustat,"26th Adar II, 1426 (1115 CE)",1115 CE,Halfon B. Manasseh
1813,"['Yehiel B. Elyaqim', 'Netaniel B. Joshua']",Qodesh,ca. 1230,N/A,"Yehiel B. Elyaqim, Netaniel B. Joshua"
1826,"['Abu Fadl Sadaqa B. Halfon B. Moses', 'Bt. Berakot B. Judah', 'Halfon B. Manasseh']","Tripoli, Lebanon",N/A,N/A,Halfon B. Manasseh
1846,"['Abu Makarim B. David', 'Wife Of Abu Makarim B. David']","Minyat Zifta, Egypt",N/A,N/A,Abu Makarim B. David
1848,"['B. [...]', 'Berakot B. [...]', '[...] B. Berakot', 'Joseph B. [...]', '[...] B. Halfon', '[...]', 'Abraham B. [...]', 'Abraham B. Hal[fon]']",Damsīs,N/A,N/A,Abraham B. Nathan Av
1852,"['Abraham Maimonides', 'Evyatar Al-kohen Al-amidi']",Fustat,N/A,N/A,Abraham Maimonides
1855,"['Yitzchak', 'Ephraim B. Shemarya']",Egypt,First half of 11th century,N/A,Yefet B. David
1867,['Yefet Ha-hazan B. David'],Fustat,"August 13, 1044",Elul,Yefet Ha-hazan B. David
1868,"['Nahray B. Nissim', 'Ammar B. Farrah Al-itrabulsi', 'Abu Ali Al-kohen']",N/A,1065/66 CE,4826 AM,Nahray B. Nissim
